city,region,population,population_density,longitude,latitude,infected
Bánovce nad Bebravou ,Trenčiansky ,36184,78,18.25116856969573,48.72523055,0
Banská Bystrica ,Banskobystrický ,110716,137,19.161761062520934,48.73892565,0
Banská Štiavnica ,Banskobystrický ,16069,55,18.902686764117373,48.4545657,0
Bardejov ,Prešovský ,77765,83,21.281412846320194,49.3047704,0
Bratislava I ,Bratislavský ,41893,4368,17.101020814713088,48.155137,50
Bratislava II ,Bratislavský ,116223,1257,17.210335029933493,48.12273999999999,0
Bratislava III ,Bratislavský ,69479,930,17.148074612557238,48.2001475,0
Bratislava IV ,Bratislavský ,97792,1011,17.017935625690484,48.202306,0
Bratislava V ,Bratislavský ,112339,1193,17.115642477944665,48.074586,0
Brezno ,Banskobystrický ,61269,48,19.66422964525469,48.8394443,0
Bytča ,Žilinský ,30965,110,18.536097304920066,49.22885955,0
Čadca ,Žilinský ,89952,118,18.8023189063277,49.441206099999995,0
Detva ,Banskobystrický ,31967,71,19.412929101751853,48.554823,0
Dolný Kubín ,Žilinský ,39417,80,19.290090897512762,49.247886799999996,0
Dunajská Streda ,Trnavský ,122825,114,17.62319653130762,48.015908200000005,0
Galanta ,Trnavský ,94147,147,17.741262886041923,48.19804365,0
Gelnica ,Košický ,31894,55,20.936915600000003,48.853205200000005,0
Hlohovec ,Trnavský ,44943,168,17.798518345117095,48.42438015000001,0
Humenné ,Prešovský ,61773,82,21.90590528368865,48.943113700000005,0
Ilava ,Trenčiansky ,59075,165,18.251476529850454,48.97308,0
Kežmarok ,Prešovský ,75533,90,20.422634547404808,49.1452583,0
Komárno ,Nitriansky ,101500,92,18.104413870803587,47.79244415,0
Košice I ,Košický ,67484,790,21.20914034716981,48.769757,0
Košice II ,Košický ,82278,1114,21.184272989595566,48.6516625,0
Košice III ,Košický ,28687,1702,21.29405275721154,48.7489845,0
Košice IV ,Košický ,60144,988,21.27644697360026,48.6839785,0
Košice-okolie ,Košický ,130132,84,20.973901669487425,48.698393,0
Krupina ,Banskobystrický ,22139,38,19.05860325322874,48.3776559,0
Kysucké Nové Mesto ,Žilinský ,32890,189,18.785370460349316,49.30627365,0
Levice ,Nitriansky ,110523,71,18.615688635991578,48.20567970000001,0
Levoča ,Prešovský ,33708,94,20.58733932257697,49.0628147,0
Liptovský Mikuláš ,Žilinský ,72216,54,19.584172797336066,49.0497369,0
Lučenec ,Banskobystrický ,73342,89,19.66535154475792,48.332694399999994,0
Malacky ,Bratislavský ,74661,79,17.020348000000002,48.4347503,0
Martin ,Žilinský ,96171,131,18.8879725423569,49.0803568,0
Medzilaborce ,Prešovský ,11787,28,21.92851639298075,49.297068,0
Michalovce ,Košický ,110748,109,21.904792560816183,48.75328585,0
Myjava ,Trenčiansky ,26256,80,17.576512783097392,48.75408065,0
Námestovo ,Žilinský ,62879,91,19.357832212799877,49.52193855,0
Nitra ,Nitriansky ,161679,186,18.0732111705358,48.31132705,0
Nové Mesto nad Váhom ,Trenčiansky ,62575,108,17.810303066041428,48.75554855,0
Nové Zámky ,Nitriansky ,138577,103,18.167647821206238,47.996073,0
Partizánske ,Trenčiansky ,45489,151,18.360579525725306,48.63468545,0
Pezinok ,Bratislavský ,65593,175,17.226332523308542,48.31825375,0
Piešťany ,Trnavský ,62726,165,17.8213848,48.589524700000005,0
Poltár ,Banskobystrický ,21397,45,19.78720369235098,48.42556855,0
Poprad ,Prešovský ,104990,95,20.31292363568448,49.05887475,0
Považská Bystrica ,Trenčiansky ,62351,135,18.45638047717957,49.12174265,0
Prešov ,Prešovský ,176181,189,21.246278792212447,48.99594245,0
Prievidza ,Trenčiansky ,133721,139,18.65109518821332,48.76054095,0
Púchov ,Trenčiansky ,44248,118,18.31683100449871,49.131743,0
Revúca ,Banskobystrický ,39537,54,20.10217113071608,48.698845,0
Rimavská Sobota ,Banskobystrický ,84048,57,20.040918786970963,48.38621165,0
Rožňava ,Košický ,62131,53,20.571124211008406,48.6936373,0
Ružomberok ,Žilinský ,56657,88,19.266150466658022,49.04372325,0
Sabinov ,Prešovský ,60659,125,21.09476493751165,49.1086665,0
Senec ,Bratislavský ,91612,255,17.38557777887312,48.2345524,0
Senica ,Trnavský ,60419,88,17.34867635596454,48.66836945,0
